TRAMO CARRETERO,TIPO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
TLACOTALPAN,PUENTES NACIONALES,2023,1123877,1104812,1112983,1157224,1068322,990328,1176194,1176147,1014959,1036408,1037447,1290397
DOVALI JAIME,PUENTES NACIONALES,2023,15851675,14529628,16705524,16456221,16896144,16623719,18580980,19124347,17679340,17609172,13203803,16626060
DOVALI JAIME BIS,PUENTES NACIONALES,2023,363291,305407,407776,339128,397223,415029,415549,403561,344942,335913,343851,409606
REFINERIA LAZARO CARDENAS,PUENTES NACIONALES,2023,161590,142768,80820,86733,75706,78592,88451,96184,115852,111084,42461,42680
MATAMOROS,PUENTES INTERNACIONALES,2023,3087363,3030583,3344450,3359627,3044164,2559952,2897629,3253593,3463287,3663868,3182095,3359466
CAMARGO,PUENTES INTERNACIONALES,2023,1034466,976932,1083673,1066817,1086634,982232,1157206,1128417,1111908,1133947,1136215,1237393
MIGUEL ALEMAN,PUENTES INTERNACIONALES,2023,1659732,1571342,1723526,1684798,1775276,1573674,1702033,1809042,1865606,1904762,1909446,2058805
REYNOSA,PUENTES INTERNACIONALES,2023,4911502,4342323,4770183,4784644,4273502,4197969,4312870,4584907,4557399,4990047,4731459,4647992
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2023,5717412,4074172,3604798,4100656,3342536,3176335,1434099,1799040,3125372,5830333,7828936,3038975
LAS FLORES,PUENTES INTERNACIONALES,2023,2024988,1929485,2108463,1816694,1713801,1734719,2006128,1802932,1859788,1908049,1932928,2138637
OJINAGA,PUENTES INTERNACIONALES,2023,1546160,1293362,1516684,1523211,1573449,1492324,1714574,1604049,1550079,1630028,1651428,1674388
RODOLFO ROBLES,PUENTES INTERNACIONALES,2023,585674,550945,608524,561888,583726,588025,686141,686871,656803,677015,703583,787869
PIEDRAS NEGRAS,PUENTES INTERNACIONALES,2023,2941340,2667789,2954798,3013941,3071107,2811024,3161577,3255773,2291237,1884003,2996160,506998
ACUÑAA,PUENTES INTERNACIONALES,2023,3853828,3592230,4005325,3919307,4056967,4070093,4409500,4454397,4299148,4532380,4345843,3734332
LAREDO,PUENTES INTERNACIONALES,2023,950762,871849,1018662,968256,993112,876805,962564,955504,953037,1003683,991902,1113072
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2023,6759447,4703660,8613402,2799375,7997850,2172819,7280037,8635840,4682876,6687195,10011213,3245288
JUÁREZ - LINCOLN,PUENTES INTERNACIONALES,2023,6706824,5847908,6497089,6688376,6829708,6688278,7099108,7360981,7250166,7397968,7178788,7825269
SUCHIATE II  ,PUENTES INTERNACIONALES,2023,732728,731227,887191,711935,835637,813351,851072,903309,844715,700966,887132,831172
CHAPALILLA - COMPOSTELA,CAMINOS,2024,8668109,7735617,8922594,4434564,4228685,3611992,3910099,3714313,3386210,,,
CUAUHTEMOC - ENT. OSIRIS,CAMINOS,2024,15568621,15238802,16335732,16502541,16752003,16475112,17683605,17858539,16045391,,,
CULIACÁN,PUENTES NACIONALES,2024,7480852,6849748,7414249,6992484,6928331,6678243,6913942,6515646,3920598,,,
SINALOA,PUENTES NACIONALES,2024,18138669,17040994,18741937,17689653,17590161,16587114,17017210,16776541,13885897,,,
PÁNUCO,PUENTES NACIONALES,2024,4146224,3975659,4394722,4129864,4108601,3848428,4050827,3948149,3601646,,,
ALVARADO,PUENTES NACIONALES,2024,4296626,3926357,4492218,4294284,4320376,3928388,4200889,4301766,3855204,,,
PAPALOAPAN,PUENTES NACIONALES,2024,1941391,2157992,2094398,2348944,2297072,1907415,2458377,4660985,4201153,,,
CARACOL,PUENTES NACIONALES,2024,6652909,5796560,6659975,6300109,6371047,6005991,5908962,3548000,3483464,,,
NAUTLA,PUENTES NACIONALES,2024,2843767,2743835,3174718,2982610,2976911,2706162,2769228,2982767,2553222,,,
GRIJALVA,PUENTES NACIONALES,2024,17170731,15867153,16432254,16437197,16381981,15435904,16636591,16712550,14989408,,,
USUMACINTA,PUENTES NACIONALES,2024,8045290,7179599,7294336,7061785,7041631,6170520,6537877,6507133,5723245,,,
CADEREYTA,PUENTES NACIONALES,2024,2717212,2585891,2754705,2657792,2700629,2590128,2754378,2790100,2603956,,,
LA PIEDAD,PUENTES NACIONALES,2024,1872824,1732409,1743187,1739416,1754977,1762488,1838339,1767595,1656419,,,
TECOLUTLA,PUENTES NACIONALES,2024,3258097,3168748,3878842,3525740,3524565,3093402,3258512,3415198,2946447,,,
SAN JUAN,PUENTES NACIONALES,2024,1716094,1756930,1778995,1723193,1725584,1535785,1652720,1598941,1582831,,,
TAMPICO,PUENTES NACIONALES,2024,9336457,8154805,9960524,8908562,8946172,8462321,10271263,10443824,9052372,,,
TLACOTALPAN,PUENTES NACIONALES,2024,1245450,1299023,1301509,1198453,1197886,1112593,1202142,1306473,1194970,,,
DOVALI JAIME,PUENTES NACIONALES,2024,16539436,15454967,17188158,17233684,17717146,16894130,17845245,17944766,16108551,,,
DOVALI JAIME BIS,PUENTES NACIONALES,2024,347800,437251,388822,348621,348195,328057,355392,365969,405837,,,
REFINERIA LAZARO CARDENAS,PUENTES NACIONALES,2024,54145,43712,48503,66453,66453,62260,74614,95891,94601,,,
MATAMOROS,PUENTES INTERNACIONALES,2024,3162725,2618280,2725455,2876619,2873354,2611551,2550966,2632681,2165216,,,
CAMARGO,PUENTES INTERNACIONALES,2024,1142804,1170112,1266223,1223544,1227182,1100412,1152462,1162042,1169922,,,
MIGUEL ALEMAN,PUENTES INTERNACIONALES,2024,1876414,1785028,1870945,1852762,1857165,1604748,1659760,1831099,1820519,,,
REYNOSA,PUENTES INTERNACIONALES,2024,4580737,3504166,4161329,4205523,4181675,3802432,4021923,3859718,3707945,,,
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2024,27378,9243833,4426332,4487514,4448156,3864882,4421176,4772955,4376801,,,
LAS FLORES,PUENTES INTERNACIONALES,2024,1932971,1504409,1636749,1558743,1530622,1446700,1601385,1642462,1691810,,,
OJINAGA,PUENTES INTERNACIONALES,2024,1695387,1483249,1736796,1668572,1668576,1688856,1846172,1751415,1477679,,,
RODOLFO ROBLES,PUENTES INTERNACIONALES,2024,668208,513153,541950,522942,522942,513023,555711,546468,528453,,,
PIEDRAS NEGRAS,PUENTES INTERNACIONALES,2024,2884760,2891696,3049453,3011271,3201827,2894287,2892344,2960131,2870650,,,
ACUÑA,PUENTES INTERNACIONALES,2024,4201125,4142592,4336494,4279887,4307300,4157339,4274864,4381643,4207169,,,
LAREDO,PUENTES INTERNACIONALES,2024,910691,0,17,0,0,73,9,9,18,,,
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2024,65708,12211141,6897940,6006105,6501566,5136553,6292322,7371646,5719750,,,
JUÁREZ - LINCOLN,PUENTES INTERNACIONALES,2024,7566714,7003830,7281076,7162800,6834844,6901908,7121555,7390521,7300344,,,
SUCHIATE II  ,PUENTES INTERNACIONALES,2024,790125,816331,773301,914289,914289,784091,835611,839846,785536,,,
